"variance","skewness","curtosis","entropy","class"
-0.56877,1.4174,-1.4252,-1.1246,1
4.9264,5.496,-2.4774,-0.50648,0
-1.8046,-6.8141,6.7019,1.1681,1
-0.91318,-2.0113,-0.19565,0.066365,1
-0.95923,0.091039,6.2204,-1.4828,0
-0.86339,1.9348,-2.3729,-1.0897,1
3.8213,0.23175,2.0133,2.0564,0
0.9297,-3.7971,4.6429,-0.2957,0
-2.2623,12.1177,0.28846,-7.7581,0
6.0919,2.9673,-1.3267,1.4551,0
-3.5741,3.944,-0.07912,-2.1203,1
4.068,-2.9363,2.1992,0.50084,0
4.5707,7.2094,-3.2794,-1.4944,0
-1.682,-6.8121,7.1398,1.3323,1
3.0009,5.8126,-2.2306,-0.66553,0
0.11592,3.2219,-3.4302,-2.8457,1
3.5912,3.0129,0.72888,0.56421,0
2.5989,3.5178,0.7623,0.81119,0
2.0153,1.8479,3.1375,0.42843,0
0.88444,6.5906,0.55837,-0.44182,0
-3.5916,-6.2285,10.2389,-1.1543,1
-4.8554,-5.9037,10.9818,-0.82199,1
5.2012,0.32694,0.17965,1.1797,0
1.6349,3.286,2.8753,0.087054,0
0.33111,4.5731,2.057,-0.18967,0
-0.40804,0.54214,-0.52725,0.6586,1
-2.6479,10.1374,-1.331,-5.4707,0
0.30081,0.17381,-1.7542,0.48921,1
2.7213,7.05,-0.58808,0.41809,0
2.805,0.57732,1.3424,1.2133,0
3.0934,-2.9177,2.2232,0.22283,0
3.404,8.7261,-2.9915,-0.57242,0
-2.3898,-0.78427,3.0141,0.76205,1
-2.5701,-6.8452,8.9999,2.1353,1
3.2294,7.7391,-0.37816,-2.5405,0
-4.5046,-5.8126,10.8867,-0.52846,1
-0.55355,-7.9233,6.7156,0.74394,1
-0.82601,2.9611,-1.2864,-1.4647,1
3.1219,-3.137,1.9259,-0.37458,0
1.9157,6.0816,0.23705,-2.0116,0
2.0153,0.43661,4.5864,-0.3151,0
1.105,7.4432,0.41099,-3.0332,0
-2.2183,-1.254,2.9986,0.36378,1
-0.2361,9.3221,2.1307,-4.3793,0
2.4287,9.3821,-3.2477,-1.4543,0
-0.71868,-5.7154,3.8298,1.0233,1
