@relation banknote_evaluacion-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute variance numeric
@attribute skewness numeric
@attribute curtosis numeric
@attribute entropy numeric
@attribute class {0,1}

@data
0.446104,0.575768,0.15081,0.668659,1
0.85778,0.731334,0.103794,0.730966,0
0.353521,0.2618,0.513955,0.899764,1
0.420302,0.444989,0.20575,0.788709,1
0.416852,0.525177,0.49244,0.632552,0
0.424032,0.595502,0.108464,0.672177,1
0.77499,0.530544,0.304453,0.989305,0
0.558363,0.376875,0.421952,0.752213,0
0.319232,0.9839,0.227382,0,0
0.945094,0.634884,0.155211,0.928694,0
0.220957,0.672138,0.210957,0.568292,1
0.793472,0.409708,0.31276,0.832504,0
0.831132,0.796687,0.067959,0.631383,0
0.362705,0.261877,0.533521,0.916316,1
0.713529,0.74341,0.114822,0.714934,0
0.497398,0.644595,0.06122,0.495172,1
0.757752,0.636623,0.247061,0.838892,0
0.683413,0.655881,0.248555,0.863787,0
0.639692,0.592188,0.354686,0.825205,0
0.554973,0.773085,0.239442,0.737484,0
0.219646,0.284136,0.671999,0.665665,1
0.124967,0.296525,0.705194,0.699162,1
0.878367,0.534175,0.22252,0.900933,0
0.611194,0.64704,0.34297,0.790794,0
0.513519,0.696133,0.306406,0.7629,0
0.458145,0.542383,0.190933,0.848406,1
0.290344,0.908367,0.155019,0.230571,0
0.511249,0.528334,0.136109,0.831332,1
0.692583,0.790607,0.188215,0.824163,0
0.698853,0.543725,0.274475,0.90432,0
0.720459,0.410417,0.313832,0.804481,0
0.743728,0.854537,0.080823,0.724319,0
0.30968,0.491791,0.349172,0.858834,1
0.296173,0.260614,0.616636,0.997258,1
0.730647,0.816891,0.197595,0.525936,0
0.151248,0.3,0.700945,0.72875,1
0.447244,0.219493,0.514567,0.857009,1
0.426833,0.634648,0.157012,0.634377,1
0.722594,0.402053,0.300548,0.744261,0
0.63223,0.75367,0.225085,0.579249,0
0.639692,0.538358,0.419427,0.750257,0
0.571496,0.805605,0.232857,0.476272,0
0.322528,0.473875,0.348479,0.818688,1
0.471026,0.87727,0.309699,0.340584,0
0.670662,0.879558,0.069375,0.635425,0
0.434873,0.303707,0.38562,0.885168,1
0.392881,0.603238,0.193231,0.641161,1
0.404861,0.93086,0.30805,0.212457,0
0.710248,0.346487,0.478427,0.839673,0
0.3606,0.186424,0.570774,0.73618,1
0.092087,0.325414,0.676212,0.669314,1
0.806942,0.815232,0.090738,0.673487,0
0.765109,0.898816,0.032239,0.341885,0
0.235026,0.02628,0.797809,0.507822,1
0.392477,0.646487,0.135533,0.453329,1
0.21838,0.648539,0.191278,0.421789,1
0.788333,0.556196,0.266741,0.952291,0
0.39456,0.46551,0.342814,0.82703,1
0.334919,0.668114,0.17895,0.659668,1
0.530841,0.559904,0.112946,0.78141,1
0.720564,0.854777,0.08488,0.684563,0
0.337766,0.66235,0.127874,0.389724,1
0.066413,0.831652,0.220338,0.276586,1
0.841358,0.838121,0.100081,0.631776,0
0.352464,0.177029,0.617365,0.769678,1
0.207232,0.205445,0.674872,0.820383,1
0.122667,0.790767,0.206784,0.08055,1
0.657402,0.32557,0.406255,0.65615,0
0.40131,0.467402,0.345151,0.848667,1
0.555383,0.608051,0.075769,0.770069,1
0.625181,0.274742,0.574254,0.739829,0
0.564506,0.556117,0.10946,0.825075,1
0.285819,0.261323,0.551131,0.841498,1
0.283909,0.539068,0.323479,0.803959,1
0.302743,0.243091,0.520081,0.722494,1
0.677704,0.607025,0.336192,0.862093,0
0.460086,0.841752,0.311115,0.404976,0
0.40779,0.605602,0.098933,0.653408,1
0.508669,0.549645,0.184157,0.785581,1
0.01813,0.775926,0.237987,0.075338,1
0.653139,0.574269,0.266245,0.86848,0
0.51835,0.784375,0.261803,0.713891,0
0.346568,0.655485,0.134769,0.394029,1
0.382086,0.483978,0.319882,0.821816,1
0.425253,0.6412,0.079943,0.485787,1
0.568402,0.662667,0.028637,0.586678,1
0.601829,0.523204,0.493012,0.75143,0
0.576186,0.870957,0.121252,0.700727,0
0.473266,0.873402,0.048968,0.095539,0
0.87319,0.520521,0.229066,0.894422,0
0.509279,0.873322,0.06765,0.293662,0
0.579647,0.857303,0.117655,0.707244,0
0.426133,0.552407,0.141163,0.76264,1
0.689481,0.641277,0.229717,0.840976,0
0.336747,0.66843,0.186148,0.663579,1
0.619255,0.662194,0.035184,0.608572,1
0.621667,0.276321,0.57866,0.691472,0
0.361716,0.562353,0.609018,0.877734,0
0.462576,0.643489,0.062329,0.461152,1
0.727598,0.391476,0.338453,0.761597,0
0.831012,0.351774,0.356446,0.782452,0
0.545772,0.743727,0.267929,0.716889,0
0.009409,0.767642,0.262911,0.114963,1
0.588719,0.755093,0.235269,0.832244,0
0.133148,0.640727,0.262527,0.651321,1
0.479207,0.477822,0.171982,0.840325,1
0.607074,0.342147,0.568321,0.62591,0
0.69253,0.868116,0.066542,0.684433,0
0.470127,0.514917,0.433744,0.797572,0
0.463446,0.496922,0.557029,0.854924,0
0.747668,0.884925,0.035259,0.419702,0
0.353296,0.185554,0.60362,0.760164,1
0.818861,0.937729,0.009955,0.335766,0
0.386379,0.528729,0.254948,0.941344,1
0.517167,0.548778,0.248327,0.737224,0
0.52763,0.397235,0.352541,0.682739,0
0.421433,0.350591,0.312836,0.833156,1
0.25798,0.544909,0.335311,0.758078,1
0.294832,0.66914,0.199586,0.653025,1
0.980409,0.896211,0.017382,0.456857,0
0.461365,0.632042,0.051573,0.47354,1
0.690365,0.934254,0.067038,0.349707,0
0.338388,0.265428,0.617365,0.792098,1
0.078115,0.83378,0.226922,0.274762,1
0.590884,0.339542,0.590644,0.592152,0
0.653784,0.750356,0.238179,0.867698,0
0.311351,0.505051,0.290096,0.738657,1
0.623106,0.479085,0.283546,0.755732,0
0.645513,0.838517,0.215513,0.45216,0
0.850393,0.81768,0.105059,0.658882,0
0.237349,0.53528,0.332782,0.74387,1
0.29663,0.456669,0.281633,0.815038,1
0.371688,0.437331,0.404803,0.810215,1
0.492108,0.778531,0.262339,0.687952,0
0.771649,0.894712,0.039893,0.425962,0
0.427493,0.650671,0.050577,0.433653,1
0.747856,0.945541,0.026649,0.268633,0
0.76854,0.88753,0.040085,0.444469,0
0.553693,0.733939,0.289404,0.765116,0
0.221167,0.045225,0.87974,0.734616,1
0.422912,0.645934,0.050157,0.449943,1
0.415802,0.276954,0.464834,0.886075,1
0.7528,0.549171,0.290132,0.846973,0
0.890158,0.664955,0.13699,0.890773,0
0.490978,0.48161,0.277156,0.860007,1
0.848048,0.788162,0.125274,0.746738,0
0.746117,0.546961,0.30851,0.972754,0
0.388409,0.580901,0.530876,0.885944,0
0.40964,0.552012,0.138674,0.734877,1
0.590345,0.683267,0.309851,0.814386,0
0.666399,0.80742,0.215207,0.606485,0
0.822457,0.616969,0.260574,0.879689,0
0.334799,0.10718,0.638652,0.639729,1
0.348007,0.270481,0.431143,0.779845,1
0.34949,0.822494,0.140126,0.596708,0
0.786669,0.53449,0.315325,1,0
0.680356,0.621706,0.297214,0.822598,0
0.553293,0.624548,0.406219,0.837196,0
0.174382,0.209629,0.756459,0.620567,1
0.711177,0.736148,0.226808,0.665534,0
0.75029,0.848618,0.078986,0.722364,0
0,0.887923,0.203147,0.080025,1
0.391323,0.913341,0.082543,0.190946,0
0.544202,0.587687,0.071672,0.767333,1
0.513376,0.351774,0.418775,0.682348,0
0.850348,0.638752,0.245147,0.863396,0
0.160785,0.311286,0.703282,0.740873,1
0.684274,0.827151,0.203951,0.60453,0
0.183964,0.616889,0.250047,0.670746,1
0.436014,0.634491,0.05387,0.464932,1
0.435154,0.35217,0.313872,0.832244,1
0.847756,0.586817,0.212182,0.932474,0
0.591753,0.860381,0.128987,0.727838,0
0.723778,0.364956,0.418699,0.881774,0
0.731074,0.889662,0.071176,0.520462,0
0.862185,0.840253,0.100886,0.652763,0
0.492608,0.790687,0.122709,0.464417,0
0.783598,0.909313,0.043647,0.377084,0
0.527633,0.397235,0.352541,0.682741,0
0.459185,0.520915,0.211532,0.736962,1
0.625346,0.263299,0.589264,0.727447,0
0.472316,0.437647,0.21023,0.838892,1
0.544382,0.947753,0.152723,0.37148,0
0.625098,0.779401,0.214939,0.821816,0
0.211817,0,1,0.518114,1
0.384049,0.648302,0.152262,0.580943,1
0.321944,1,0.346031,0.426617,0
0.728685,0.741358,0.180826,0.720278,0
0.851689,0.831099,0.082624,0.633601,0
0.908872,0.914603,0,0.343195,0
0.466346,0.616179,0.082624,0.715325,1
0.52752,0.53157,0.176921,0.878907,1
0.758276,0.793685,0.156248,0.803437,0
0.552822,0.52202,0.509589,0.72849,0
0.790842,0.530544,0.254297,0.901195,0
0.639872,0.590292,0.082315,0.803177,1
0.517167,0.548778,0.248327,0.737224,0
0.534901,0.670246,0.003253,0.339022,1
0.666482,0.921153,0.080054,0.459327,0
0.305485,0.583819,0.17493,0.632815,1
0.359267,0.260774,0.61438,0.850622,1
0.210169,0.197157,0.76691,0.685737,1
0.442234,0.543015,0.197251,0.715065,1
0.687706,0.929994,0.066658,0.371086,0
0.606264,0.763774,0.206324,0.5391,0
0.783987,0.396209,0.356022,0.891549,0
0.486947,0.795344,0.24955,0.705679,0
0.394792,0.936703,0.300776,0.346189,0
0.369216,0.271034,0.427582,0.68691,1
0.420702,0.220282,0.517476,0.816472,1
0.555813,0.81831,0.091735,0.58694,0
0.408224,0.280978,0.453771,0.863135,1
